1983	67
1984	195
1985	368
1986	715
1987	1610
1988	2229
1989	2932
1990	3800
1991	4047
1992	4569
1993	4793
1994	5343
1995	6062
1996	6221
1997	6556
1998	7903
1999	9449
2000	9731
2001	10326
2002	10285
2003	10151
2004	10694
2005	11026
2006	11776
2007	10832
2008	10784
2009	10721
2010	11406
2011	11139
2012	12229
2013	11466
2014	11090
2015	13179
2016	14121
2017	15157
2018	17608
2019	17618
2020	17575
2021	16241
2022	18012
2023	17739
