0	19.763
1	20.208
2	20.657
3	21.165
4	21.674
5	22.233
6	22.779
7	23.440
8	24.568
9	25.753
10	27.280
11	28.729
12	29.980
13	30.904
14	31.880
15	32.906
16	33.978
17	35.095
18	36.253
19	37.448
20	38.677
21	39.939
22	41.234
23	42.564
24	43.931
25	45.339
26	46.784
27	48.264
28	49.788
29	51.361
30	52.988
31	54.669
32	56.396
33	58.156
34	59.931
35	61.708
36	63.486
37	65.261
38	67.013
39	68.715
40	70.353
41	71.916
42	73.416
43	74.880
44	76.351
45	77.859
46	79.410
47	80.999
48	82.635
49	84.327
50	86.077
51	87.890
52	89.758
53	91.654
54	93.542
55	95.393
56	97.202
57	98.969
58	100.679
59	102.317
60	103.874
61	105.340
62	106.724
63	108.056
64	109.382
65	110.732
66	112.117
67	113.530
68	114.639
69	114.977
70	115.522
71	116.254
72	117.054
73	118.395
74	119.713
75	121.005
76	122.298
77	123.415
78	124.738
79	126.014
80	126.128
81	126.976
82	127.796
83	128.589
